"Incident_ID","Date","School","City","State","Summary","Targets"
"20220225ALSOH","2022-02-25","Sonnie Hereford Elementary","Huntsville","AL","4th grader shot themselves inside classroom","Neither"
"20220223VAWOW","2022-02-23","Woodbridge High School","Woodbridge","VA","Shot fired during fight in parking lot outside basketball game","Victims Targeted"
"20220222TXALH","2022-02-22","Alief ISD Center for Advanced Careers","Houston","TX","Two men shot in street in front of school, victim collapsed and died in school parking lot near front door","Victims Targeted"
"20220222COLIP","2022-02-22","Liberty Point International Middle School","Pueblo","CO","Officers shot intoxicated and combative man on school property","Neither"
"20220221MDJOH","2022-02-21","John Carroll Elementary School","Hyattsville","MD","Man fatally shot on playground behind school","Victims Targeted"
"20220220OKWIW","2022-02-20","Wilson Middle School","Wilson","OK","Office shot twice while investigating suspicious man behind school","Victims Targeted"
"20220220MSMCM","2022-02-20","McColm High School","McColm","MS","Drive-by shooting following basketball game","Both"
"20220219VACAC","2022-02-19","Camelot Elementary School","Chesapeake","VA","Teen shot in parking lot ","null"
"20220218MATET","2022-02-18","Tewksbury High School","Tewksbury","MA","4 teens fired pellet guns at crowd leaving basketball game","Random Shooting"
"20220217WAMCG","2022-02-17","McClure Elementary School","Grandview","WA","Man shot next to school, shooter fled","Victims Targeted"
"20220214FLLAL","2022-02-14","Lake City Middle School","Lake City","FL","Adult man fired shots in front of the school during a dispute at dismissal","Victims Targeted"
"20220211DCEAW","2022-02-11","Eagle Academy","Washington","DC","Man shot in school parking lot","null"
"20220209NYMCB","2022-02-09","McKinley High School","Buffalo","NY","Student stabbed and security guard shot during fight ","Both"
"20220209MNMIM","2022-02-09","Minneapolis School Bus","Minneapolis","MN","School bus driver shot in the head while driving the bus with children aboard","Both"
"20220208NYMOM","2022-02-08","Mount Vernon High School","Mount Vernon","NY","Shots fired outside school prior to dismissal","null"
"20220208MDCAC","2022-02-08","Catonsville High School","Catonsville","MD","Student shot in school parking lot","Victims Targeted"
"20220204GASOD","2022-02-04","Southwest DeKalb High School","Decatur","GA","Student shot self in the leg in school parking lot at dismissal","Neither"
"20220204ALWEB","2022-02-04","Wenonah High School","Birmingham","AL","Student (not intended target) shot outside of gym following basketball game","Both"
"20220203NCSPS","2022-02-03","Speight Middle School","Stantonsburg","NC","Bullet struck window of occupied school bus","null"
"20220202KYLOR","2022-02-02","Logan County Community Technology Center","Russellville","KY","Two windows of the school building shot","Random Shooting"
"20220201WIRUM","2022-02-01","Rufus King High School","Milwaukee","WI","Five victims shot during fight outside basketball game","Both"
"20220201PAACS","2022-02-01","Academy Park High School","Sharon Hill","PA","Shots fired in the school parking lot","null"
"20220201MNSOR","2022-02-01","South Education Center","Richfield","MN","Two students shot in front of school","Both"
"20220201ILALC","2022-02-01","Alessandro Volta Elementary School","Chicago","IL","Teen girl shot by front door of school","Both"
"20220129WIBEB","2022-01-29","Beloit Memorial High School","Beloit","WI","Adult man killed outside of high school basketball game","Victims Targeted"
"20220128LACAM","2022-01-28","Carroll High School","Monroe","LA","Shots fired by man burglarizing vehicles during basketball game","Random Shooting"
"20220127TXMOH","2022-01-27","Montgomery Elementary School","Houston","TX","Woman shot during car sale robbery scam in school parking lot","Victims Targeted"
"20220126PABAP","2022-01-26","Bartram High School","Philadelphia","PA","1","Victims Targeted"
"20220124NVSUL","2022-01-24","Sunrise Mountain High School","Las Vegas","NV","Unidentified person shot in school parking lot during school day","Victims Targeted"
"20220121MDMAR","2022-01-21","Magruder High School","Rockville","MD","Student shot in school bathroom, shooter found in school 3 hours later","Victims Targeted"
"20220121GAMCA","2022-01-21","McNair High School","Atlanta","GA","Shots fired in school parking lot prior to dismissal","null"
"20220119VAMAP","2022-01-19","Manor High School","Portsmouth","VA","Student fatally shot behind school after dismissal","Victims Targeted"
"20220119PAPIP","2022-01-19","Pittsburgh Oliver Citywide Academy","Pittsburgh","PA","Special education student sitting in school van at dismissal shot by 2 gunmen","Victims Targeted"
"20220119FLSES","2022-01-19","Seminole High School","Sanford","FL","Student shot 3 times inside school, shooter fled","Victims Targeted"
"20220119DCANW","2022-01-19","Anacostia High School","Washington","DC","Two shots stuck the front door of the school","Victims Targeted"
"20220117TXPYH","2022-01-17","Pyburn Elementary School","Houston","TX","Man and woman fatally shot during robbery","Victims Targeted"
"20220114MDGAG","2022-01-14","Gaithersburg High School","Gaithersburg","MD","Man arrested with loaded AR-15 outside of school","null"
"20220111NMVAA","2022-01-11","Valley High School","Albuquerque","NM","15 shots fired in parking lot during high school basketball game","null"
"20220106CAFLS","2022-01-06","Florin High School","Sacramento","CA","Two students shot at the back gate to the school campus","Both"
"20220104ILAUR","2022-01-04","Auburn High School","Rockford","IL","Two student shot inside vehicle in school parking lot by 2 other students","Victims Targeted"
"20220103WACHP","2022-01-03","Childpeace Montessori School","Portland","OR","Shots fired from a vehicle in front of the school","Random Shooting"
"20220103OHCOC","2022-01-03","Columbus School Bus","Columbus","OH","School bus struck by bullet while driving","null"
"20211229NCCAS","2021-12-29","Catawba College (high school tournament)","Salisbury","NC","Two teens shot during fight in entryway to gym","Victims Targeted"
"20211217TXWOD","2021-12-17","Woodrow Wilson Junior High","Dayton","TX","Student in vehicle pointed BB rifle at school bus causing panic aboard","Neither"
"20211216SCEAC","2021-12-16","Eau Claire High School","Columbia","SC","Student fired shots during dismissal then fled","Victims Targeted"
"20211216NYPSB","2021-12-16","P.S. 026 Jesse Owens","Brooklyn","NY","Shots fired in front of school","null"
"20211214WISOM","2021-12-14","South Division High School","Milwaukee","WI","Student fired shots into the air by the front door of the school","Neither"
"20211214VAMEN","2021-12-14","Menchville High School","Newport News","VA","Student fatally shot in school parking lot during basketball game","Victims Targeted"
"20211213NCWEC","2021-12-13","West Charlotte High School","Charlotte","NC","Shot fired during fight at dismissal","Victims Targeted"
"20211213FLEAO","2021-12-13","East River High School","Orlando","FL","Shot fired in the school parking lot during dismissal ","null"
"20211212NYSCR","2021-12-12","School No. 17","Rochester","NY","Adult male fatally shot during dispute on school playground","Victims Targeted"
"20211211GAJOG","2021-12-11","Jones County High School","Gray","GA","Shot fired in the gym during high school basketball game","Victims Targeted"
"20211211FLEDL","2021-12-11","Edward A. Upthegrove Elementary School","LaBelle","FL","Shots fired in the school gym during youth basketball game","Victims Targeted"
"20211210OHCAC","2021-12-10","Canal Winchester High School","Canal Winchester","OH","Man fired shots at officers and fled across campus","Random Shooting"
"20211210NCJEC","2021-12-09","Jesse C. Carson High","China Grove","NC","Target shooters struck vehicles in the school parking lot","Neither"
"20211209NYGRN","2021-12-09","Greater Oaks Charter School","New York","NY","Bullet broke classroom window","Victims Targeted"
"20211208MOEWK","2021-12-08","Ewing Marion Kauffman School","Kansas City","MO","Two teens shot in school parking lot during basketball game","null"
"20211208KYSTL","2021-12-08","St. Matthews Elementary School","Louisville","KY","Person inside a car was shot at several times in school parking lot","Victims Targeted"
"20211207ILHAC","2021-12-07","Haines Elementary School","Chicago","IL","Man shot multiple times in front of school","Victims Targeted"
"20211206NYSUS","2021-12-06","Susan E. Wagner High School","Staten Island","NY","Student waiting for bus was attacked and pistol whipped by 2 teens","Victims Targeted"
"20211206CAWIW","2021-12-06","Wilmington Park Elementary School","Wilmington","CA","9-year-old girl critically injured by stray shot while on school playground","Both"
"20211203ARBLB","2021-12-03","Blytheville High School","Blytheville","AR","Teen fired multiple shots at person inside vehicle in the parking lot","Victims Targeted"
"20211202WAGAS","2021-12-02","Garfield High School","Seattle","WA","30 shots fired in school parking lot during basketball practice","Both"
"20211201TXSAP","2021-12-01","Sam Rayburn High School","Pasadena","TX","Adult man robbed student at gunpoint and fired shot on the athletic field","Victims Targeted"
"20211130TNHUH","2021-11-30","Humboldt High School","Humboldt","TN","3 people shot during high school basketball game","Both"
"20211130OHWHW","2021-11-30","Whitehall Yearling High School","Whitehall","OH","Teen shot himself while engaged in horseplay with two other teens","Neither"
"20211130MIOXO","2021-11-30","Oxford High School","Oxford","MI","11 students shot during planned attack at school","Both"
"20211130CALOL","2021-11-30","Los Angeles School Bus","Los Angeles","CA","Back window of school bus shot out while driving","Neither"
"20211129ILWER","2021-11-29","West Middle School","Rockford","IL","Shot fired behind the school, 4 teens seen running away","null"
"20211129AZCHP","2021-11-29","Cesar Chavez High School","Phoenix","AZ","Student shot during fight in bathroom","Victims Targeted"
"20211126CAWES","2021-11-26","Westmount High School","San Jose","CA","Two men shot in the parking lot during playoff football game, stadium evacuated","Victims Targeted"
"20211125SCCEP","2021-11-04","Central High School","Pageland","SC","Multiple FFA goats and chickens shot","null"
"20211124ILTHH","2021-11-24","Thornton Township High School","Harvey","IL","Shots fired outside school at dismissal","null"
"20211123OHCLC","2021-11-23","Cleveland School Bus","Cleveland","OH","Man robbed school bus driver at gunpoint","Neither"
"20211119MDGIB","2021-11-18","Gilmor Elementary School","Baltimore","MD","13-year-old girl shot outside of school","Victims Targeted"
"20211119COHIA","2021-11-19","Hinkley High School","Aurora","CO","3 students shot in the school parking lot during fight","Victims Targeted"
"20211116NYPSB","2021-11-16","P.S. 44","Bronx","NY","Shots fired outside school at dismissal by adult male","Victims Targeted"
"20211116FLJAJ","2021-11-16","Jacksonville School Bus","Jacksonville","FL","Occupied school bus struck by bullets","Both"
"20211115NYPOP","2021-11-15","Poughkeepsie High School","Poughkeepsie","NY","Shots fired during fight in front of the school at dismissal","Victims Targeted"
"20211110NYITI","2021-11-10","Ithaca High School","Ithaca","NY","Door of school bus shot, driver not injured","null"
"20211109NMMEL","2021-11-09","Mesilla Valley Leadership Academy","Las Cruces","NM","SWAT standoff after man crashed stolen police car into school","Neither"
"20211108NYTHB","2021-11-08","Theodore Roosevelt High School","Bronx","NY","Student shot at dismissal on sidewalk in front of school","Victims Targeted"
"20211106FLOVO","2021-11-06","Oviedo High School","Oviedo","FL","Student brandish gun during fight at homecoming dance","Neither"
"20211102NMHIH","2021-11-02","Highland Middle School","Hobbs","NM","12-year-old and friend shot at students outside the school with BB gun","Random Shooting"
"20211030PASTM","2021-10-30","Sto Rox High School","McKees Rock","PA","Man shot outside football stadium during dispute over parking","Victims Targeted"
"20211027SCCAS","2021-10-27","Calhoun County High School","St. Matthews","SC","Student fired shots during fight following football game","Victims Targeted"
"20211026MSCAN","2021-10-26","Cathedral School","Natchez","MS","Shot fired from shotgun broke occupied classroom window","Neither"
"20211026ILWIC","2021-10-26","Jose de Diego Community Academy","Chicago","IL","Two shots fired during fight between two men","Victims Targeted"
"20211022PAPHP","2021-10-22","Philadelphia Learning Academy South","Philadelphia","PA","Student shot himself in the leg in the gym","Neither"
"20211021NYPSB","2021-10-21","P. S. 65 Mother Hale Academy","Bronx","NY","Shot fired during argument between two men","Victims Targeted"
"20211021GABES","2021-10-21","Bethesda Academy","Savannah","GA","Man fired shots at occupied vehicles in the school parking lot","Random Shooting"
"20211018PALIP","2021-10-18","Lincoln High School","Philadelphia","PA","Brother of student fired 15 shots at group of students during fight","Both"
"20211017ARROR","2021-10-17","Rogers High School","Rogers ","AR","Man fired 16 shots at stadium press box","Neither"
"20211015CAKEF","2021-10-15","Kepler Community School","Fresno","CA","Gym teacher talked down man with gun on school playground","Neither"
"20211015ALWIM","2021-10-15","Williamson High School","Mobile","AL","4 shot inside the football stadium during game","Both"
"20211014MEREP","2021-10-14","Reiche Community School","Portland","ME","Person shot on the school playground","Victims Targeted"
"20211013PACHD","2021-10-13","Charles Kelly Elementary","Drexel Hill","PA","Two students shot 4 classmates with pellet gun","Both"
"20211013ILMCC","2021-10-13","McDade Classical Elementary School","Chicago","IL","28 shots fired from a vehicle, multiple bullets hit school building","Random Shooting"
"20211012OKUNT","2021-10-12","Union High School","Tulsa","OK","Student fired plastic projectile gun at group of students and staff waiting for the buses","Random Shooting"
"20211012MIELK","2021-10-12","El Sol Academy","Kalamazoo","MI","Group of teens was shot by a masked gunman","Victims Targeted"
"20211012ILWEC","2021-10-12","Wendell Phillips Academy High School","Chicago","IL","SRO and student shot multiple times when they exited school at dismissal","Both"
